disease_name,metric,flag_value,row_count
Argentine hemorrhagic fever,candidate_rows,,10
Argentine hemorrhagic fever,is_bat,FALSE,9
Argentine hemorrhagic fever,is_bat,,1
Argentine hemorrhagic fever,is_bird,FALSE,9
Argentine hemorrhagic fever,is_bird,,1
Argentine hemorrhagic fever,is_human,TRUE,1
Argentine hemorrhagic fever,is_human,FALSE,9
Argentine hemorrhagic fever,is_livestock_like,FALSE,10
Argentine hemorrhagic fever,is_rodent,TRUE,7
Argentine hemorrhagic fever,is_rodent,FALSE,2
Argentine hemorrhagic fever,is_rodent,,1
Borna disease (encephalitis),candidate_rows,,23
Borna disease (encephalitis),is_bat,FALSE,23
Borna disease (encephalitis),is_bird,TRUE,2
Borna disease (encephalitis),is_bird,FALSE,21
Borna disease (encephalitis),is_human,TRUE,1
Borna disease (encephalitis),is_human,FALSE,22
Borna disease (encephalitis),is_livestock_like,TRUE,4
Borna disease (encephalitis),is_livestock_like,FALSE,19
Borna disease (encephalitis),is_rodent,TRUE,1
Borna disease (encephalitis),is_rodent,FALSE,22
Chikungunya fever,candidate_rows,,30
Chikungunya fever,is_bat,TRUE,11
Chikungunya fever,is_bat,FALSE,19
Chikungunya fever,is_bird,TRUE,1
Chikungunya fever,is_bird,FALSE,29
Chikungunya fever,is_human,TRUE,1
Chikungunya fever,is_human,FALSE,29
Chikungunya fever,is_livestock_like,FALSE,30
Chikungunya fever,is_rodent,TRUE,4
Chikungunya fever,is_rodent,FALSE,26
Crimean-Congo hemorrhagic fever,candidate_rows,,58
Crimean-Congo hemorrhagic fever,is_bat,TRUE,2
Crimean-Congo hemorrhagic fever,is_bat,FALSE,56
Crimean-Congo hemorrhagic fever,is_bird,TRUE,2
Crimean-Congo hemorrhagic fever,is_bird,FALSE,56
Crimean-Congo hemorrhagic fever,is_human,TRUE,1
Crimean-Congo hemorrhagic fever,is_human,FALSE,57
Crimean-Congo hemorrhagic fever,is_livestock_like,TRUE,7
Crimean-Congo hemorrhagic fever,is_livestock_like,FALSE,51
Crimean-Congo hemorrhagic fever,is_rodent,TRUE,13
Crimean-Congo hemorrhagic fever,is_rodent,FALSE,45
Dengue,candidate_rows,,53
Dengue,is_bat,TRUE,29
Dengue,is_bat,FALSE,24
Dengue,is_bird,FALSE,53
Dengue,is_human,TRUE,1
Dengue,is_human,FALSE,52
Dengue,is_livestock_like,FALSE,53
Dengue,is_rodent,TRUE,6
Dengue,is_rodent,FALSE,47
Ebola virus disease,candidate_rows,,19
Ebola virus disease,is_bat,TRUE,8
Ebola virus disease,is_bat,FALSE,11
Ebola virus disease,is_bird,FALSE,19
Ebola virus disease,is_human,TRUE,1
Ebola virus disease,is_human,FALSE,18
Ebola virus disease,is_livestock_like,FALSE,19
Ebola virus disease,is_rodent,TRUE,2
Ebola virus disease,is_rodent,FALSE,17
Hantavirus pulmonary syndrome,candidate_rows,,28
Hantavirus pulmonary syndrome,is_bat,FALSE,28
Hantavirus pulmonary syndrome,is_bird,FALSE,28
Hantavirus pulmonary syndrome,is_human,TRUE,1
Hantavirus pulmonary syndrome,is_human,FALSE,27
Hantavirus pulmonary syndrome,is_livestock_like,FALSE,28
Hantavirus pulmonary syndrome,is_rodent,TRUE,27
Hantavirus pulmonary syndrome,is_rodent,FALSE,1
Hemorrhagic fever with renal syndrome (Hantaan virus),candidate_rows,,30
Hemorrhagic fever with renal syndrome (Hantaan virus),is_bat,TRUE,1
