disease_name,review_priority_rank,review_priority_score,review_focus,audit_flags,tracker_done,tracker_scope,tracker_review,tracker_hosts,tracker_vectors,tracker_proxy,tracker_source_check,tracker_features,tracker_last_reviewed,tracker_next_step,review_note_present,review_note_files,role_assignment_status,sdm_availability_status,readiness_blocker,recommended_next_action,host_sdm_needed,vector_sdm_needed,host_sdm_species_available,vector_sdm_species_available,roster_rows,roster_host_rows,roster_vector_rows,roster_host_taxonomy_blank_rows,roster_vector_taxonomy_caution_rows,roster_vectors_with_disease_vector_evidence,roster_vectors_with_host_vector_evidence,roster_vectors_with_competence_evidence,host_feature_rows,host_bucket_reservoir_or_amplifying_rows,host_bucket_susceptible_or_spillover_rows,host_bucket_dead_end_or_incidental_rows,host_bucket_presence_only_rows,host_bucket_unknown_rows,host_exact_source_backed_rows,host_exact_reviewed_needs_review_rows,host_disease_group_proxy_rows,host_weighted_taxonomic_proxy_rows,host_proxy_rows,host_profile_group_proxy_rows,host_proxy_needs_review_rows,host_role_needs_manual_review_rows,host_taxonomy_blank_rows,host_proxy_rule_ids,active_host_proxy_rule_rows,active_host_proxy_taxid_rule_rows,active_host_proxy_broad_taxonomy_rule_rows,active_host_proxy_rule_ids,vector_feature_rows,vector_bucket_primary_rows,vector_bucket_bridge_rows,vector_bucket_enzootic_or_sylvatic_rows,vector_bucket_competence_supported_rows,vector_bucket_direct_association_rows,vector_bucket_unknown_rows,vector_role_needs_review_rows,vector_primary_needs_review_rows,vector_bridge_needs_review_rows,vector_sylvatic_needs_review_rows,vector_source_role_hint_rows,vector_reviewed_assignment_rows,vector_taxonomy_caution_rows,vector_competence_or_transmission_supported_rows,tiered_species_rows,tiered_repo_host_rows,tiered_repo_vector_rows,tiered_delivery_host_rows,tiered_delivery_vector_rows,tiered_no_spatial_layer_rows,tiered_host_taxonomy_blank_rows,host_role_evidence_rows,host_role_assignment_rows,host_role_evidence_needs_review_rows,host_role_assignment_needs_review_rows,host_evidence_without_assignment_rows,host_assignment_without_evidence_rows,vector_role_evidence_rows,vector_role_assignment_rows,vector_role_evidence_needs_review_rows,vector_role_assignment_needs_review_rows,vector_evidence_without_assignment_rows,vector_assignment_without_evidence_rows,unmatched_vector_assignment_rows,unmatched_vector_assignment_labels,host_candidate_rows,direct_vector_species_or_taxa,direct_vector_taxonomy_review_needed_rows
Influenza (H7N9 avian influenza),1,1315,host_proxy_policy_high_volume,high_volume_host_proxy; host_proxy_policy,TRUE,include,done,exact,n/a,broad,FALSE,TRUE,2026-06-22,done,TRUE,influenza_h7n9_avian_influenza_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,96,0,559,559,0,11,0,0,0,0,559,203,126,1,229,0,3,0,556,0,556,556,558,558,11,avian_influenza_group_proxy_v0_1,8,1,6,avian_influenza_group_proxy_v0_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,559,0,0,0,458,11,3,3,2,2,0,0,0,0,0,0,0,0,0,,559,0,0
Influenza (H5N1 avian influenza),2,1312,host_proxy_policy_high_volume,high_volume_host_proxy; host_proxy_policy,TRUE,include,done,exact,n/a,broad,TRUE,TRUE,2026-06-22,done,TRUE,_curation_progress.md; influenza_h5n1_avian_influenza_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,no,96,0,559,559,0,11,0,0,0,0,559,202,127,1,229,0,4,0,555,0,555,555,558,558,11,avian_influenza_group_proxy_v0_1,8,1,6,avian_influenza_group_proxy_v0_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,559,0,0,0,458,11,5,5,4,4,0,0,0,0,0,0,0,0,0,,559,0,0
West Nile fever,3,600,host_proxy_policy_high_volume,high_volume_host_proxy; host_proxy_policy; evidence_assignment_mismatch,TRUE,include,broad,ready,ready,TRUE,TRUE,TRUE,2026-06-25,done,TRUE,_curation_progress.md; west_nile_fever_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,optional,yes,82,51,349,274,75,2,1,75,47,39,274,160,0,2,112,0,3,0,91,68,159,159,272,272,2,wnv_aves_group_proxy_v0_1; wnv_charadriiformes_weighted_proxy_v0_1; wnv_corvidae_weighted_proxy_v0_1; wnv_passeriformes_weighted_proxy_v0_1,4,0,4,wnv_aves_group_proxy_v0_1; wnv_charadriiformes_weighted_proxy_v0_1; wnv_corvidae_weighted_proxy_v0_1; wnv_passeriformes_weighted_proxy_v0_1,75,4,1,0,24,45,1,6,4,1,0,0,5,1,24,349,274,75,0,0,214,2,4,3,2,1,1,0,6,5,6,5,1,0,0,,274,75,1
Yellow fever,4,189,group_level_vector_assignment_caveat,host_proxy_policy; group_level_vector_assignment,TRUE,include,broad,ready,ready,TRUE,TRUE,TRUE,2026-06-25,done,TRUE,_curation_progress.md; yellow_fever_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,optional,yes,51,9,103,73,30,6,0,30,12,27,73,53,0,0,20,0,1,0,52,0,52,52,72,72,6,yellow_fever_nonhuman_primate_proxy_v0_1; yellow_fever_primate_taxid_rescue_proxy_v0_1,7,6,1,yellow_fever_nonhuman_primate_proxy_v0_1; yellow_fever_primate_taxid_rescue_proxy_v0_1,30,1,0,3,16,10,0,3,0,0,3,0,4,0,16,103,73,30,0,0,42,6,2,2,1,1,0,0,6,6,5,5,0,0,2,Haemagogus spp.; Sabethes spp.,73,30,0
Plague,5,164,group_level_vector_assignment_caveat,host_proxy_policy; group_level_vector_assignment,TRUE,include,broad,broad,ready,broad,TRUE,TRUE,2026-06-23,done,TRUE,_curation_progress.md; plague_role_review.md,reviewed_assignment_present,optional_sdms_missing,none,ready_for_model_spec_review,yes,optional,42,0,99,52,47,0,3,47,12,47,52,26,25,1,0,0,2,0,50,0,50,50,51,51,0,plague_mammalia_spillover_proxy_v0_1; plague_rodentia_maintenance_proxy_v0_1,2,0,2,plague_mammalia_spillover_proxy_v0_1; plague_rodentia_maintenance_proxy_v0_1,47,2,0,0,36,6,3,4,1,0,0,0,2,3,36,99,52,47,0,0,57,0,3,3,2,2,0,0,4,4,3,3,0,0,1,fleas,52,47,0
Crimean-Congo hemorrhagic fever,6,142,host_proxy_policy,host_proxy_policy,TRUE,include,broad,ready,ready,TRUE,TRUE,TRUE,2026-06-24,done,TRUE,_curation_progress.md; crimean_congo_hemorrhagic_fever_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,optional,yes,47,14,107,58,49,0,2,49,35,30,58,6,23,1,28,0,2,0,28,0,28,28,57,57,0,cchf_livestock_amplifying_proxy_v0_1; cchf_wild_ungulate_susceptible_proxy_v0_1,10,6,4,cchf_livestock_amplifying_proxy_v0_1; cchf_wild_ungulate_susceptible_proxy_v0_1,49,4,0,1,11,31,2,8,4,0,1,0,6,2,10,107,58,49,0,0,46,0,4,4,3,3,0,0,6,6,6,6,0,0,0,,58,49,1
Tick-borne encephalitis,7,85,group_level_vector_assignment_caveat,host_proxy_policy; group_level_vector_assignment,TRUE,include,broad,ready,ready,TRUE,TRUE,TRUE,2026-06-24,done,TRUE,_curation_progress.md; tick_borne_encephalitis_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,optional,yes,34,7,103,92,11,1,0,11,6,11,92,21,3,1,67,0,6,0,19,0,19,19,92,92,1,tbe_small_rodent_proxy_v0_1,2,0,2,tbe_small_rodent_proxy_v0_1,11,3,0,0,7,1,0,1,1,0,0,0,3,0,7,103,92,11,0,0,60,1,7,7,7,7,0,0,5,5,3,3,0,0,1,Ixodes spp.,92,11,0
Zika virus disease,8,70,vector_bucket_review,host_proxy_policy; vector_bucket_needs_review,TRUE,include,broad,ready,ready,TRUE,TRUE,TRUE,2026-06-25,done,TRUE,_curation_progress.md; zika_virus_disease_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,no,yes,18,29,76,21,55,1,1,55,28,27,21,8,0,0,13,0,1,0,7,0,7,7,20,20,1,zika_primate_sylvatic_proxy_v0_1,1,0,1,zika_primate_sylvatic_proxy_v0_1,55,1,5,5,3,39,2,12,0,5,5,0,12,1,3,77,21,56,0,0,30,1,1,1,0,0,0,0,12,12,11,11,0,0,0,,21,56,0
Chikungunya fever,9,40,evidence_assignment_integrity,evidence_assignment_mismatch,TRUE,include,broad,ready,ready,FALSE,TRUE,TRUE,2026-06-17,done,TRUE,_curation_progress.md; chikungunya_fever_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,no,yes,26,9,51,30,21,0,0,21,12,15,30,3,0,0,27,0,3,0,0,0,0,0,29,29,0,,0,0,0,,21,2,2,1,11,5,0,3,0,2,1,0,5,0,11,102,30,21,30,21,30,0,4,3,3,2,1,0,5,5,3,3,0,0,0,,30,21,0
Rift Valley fever,10,38,group_level_vector_assignment_caveat,group_level_vector_assignment,TRUE,include,broad,ready,ready,FALSE,TRUE,TRUE,2026-06-24,done,TRUE,_curation_progress.md; rift_valley_fever_role_review.md,reviewed_assignment_present,required_sdms_available,none,ready_for_model_spec_review,yes,yes,32,59,119,41,78,0,1,78,45,69,41,4,1,1,35,0,6,0,0,0,0,0,40,40,0,,0,0,0,,78,0,1,2,28,44,1,6,0,1,2,0,5,1,28,119,41,78,0,0,28,0,7,7,6,6,0,0,6,6,6,6,0,0,1,Mansonia spp.,41,78,0
