disease_name,source_hint_review_rank,source_hint_review_score,policy_review_focus,review_recommendation,species_name,tax_id,vector_group,vector_taxon_rank,vector_join_key,vector_role_hint,vector_role_bucket,vector_role_bucket_basis,bucket_with_source_hint,bucket_without_source_hint,bucket_change_if_hints_enabled,best_evidence_level,best_evidence_basis,biological_evidence_tier,has_disease_vector_evidence,has_host_vector_evidence,has_competence_evidence,bites_humans,bites_humans_true,vector_competence_status,transmission_demonstrated,natural_infection_reported,vector_record_sources,uncertainty_reason,vector_evidence_missingness_reason,vector_role_assignment,vector_role_assignment_status,manual_vector_evidence_rows,manual_vector_assignment_rows,source_hint_rows_by_disease,source_hint_primary_rows_by_disease,source_hint_bridge_rows_by_disease,source_hint_sylvatic_rows_by_disease,source_hint_competence_fallback_rows_by_disease,source_hint_direct_fallback_rows_by_disease,readiness_blocker,recommended_next_action,vector_sdm_needed,vector_sdm_species_available,tracker_done,tracker_review,tracker_vectors,tracker_last_reviewed,tracker_next_step
Crimean-Congo hemorrhagic fever,1,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,hyalomma dromedarii,,tick,species,hyalomma dromedarii,candidate_vector|primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,lit_review,field_detection_only,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,,,0,0,4,4,0,0,4,0,none,ready_for_model_spec_review,yes,14,TRUE,broad,ready,2026-06-24,done
Crimean-Congo hemorrhagic fever,2,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,hyalomma impeltatum,,tick,species,hyalomma impeltatum,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,lit_review,,tax_id_missing; natural_infection_unknown,,,0,0,4,4,0,0,4,0,none,ready_for_model_spec_review,yes,14,TRUE,broad,ready,2026-06-24,done
Crimean-Congo hemorrhagic fever,3,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,hyalomma truncatum,,tick,species,hyalomma truncatum,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,lit_review,field_detection_only,tax_id_missing; natural_infection_unknown,,,0,0,4,4,0,0,4,0,none,ready_for_model_spec_review,yes,14,TRUE,broad,ready,2026-06-24,done
Crimean-Congo hemorrhagic fever,4,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,hyalomma turanicum,,tick,species,hyalomma turanicum,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,,,lit_review,field_detection_only,tax_id_missing; transmission_demonstrated_unknown; natural_infection_unknown,,,0,0,4,4,0,0,4,0,none,ready_for_model_spec_review,yes,14,TRUE,broad,ready,2026-06-24,done
Rift Valley fever,5,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,aedes aegypti,,mosquito,species,aedes aegypti,candidate_vector|primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,probable,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,mixed,mixed,yes,EFSA; lit_review,field_detection_only|low_competence_or_efficiency|no_transmission_demonstrated,tax_id_missing,,,0,0,5,3,0,2,5,0,none,ready_for_model_spec_review,yes,59,TRUE,broad,ready,2026-06-24,done
West Nile fever,6,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,culex annulirostris,,mosquito,species,culex annulirostris,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,field+lab,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,EFSA; lit_review,,tax_id_missing; natural_infection_unknown,,,0,0,11,4,7,0,7,4,none,ready_for_model_spec_review,yes,51,TRUE,broad,ready,2026-06-25,done
West Nile fever,7,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,culex perexiguus,,mosquito,species,culex perexiguus,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,lit_review,field_detection_only,tax_id_missing; natural_infection_unknown,,,0,0,11,4,7,0,7,4,none,ready_for_model_spec_review,yes,51,TRUE,broad,ready,2026-06-25,done
Yellow fever,8,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,aedes taylori,,mosquito,species,aedes taylori,primary_vector|sylvatic_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,lit_review,,tax_id_missing; natural_infection_unknown,,,0,0,18,7,6,5,16,2,none,ready_for_model_spec_review,yes,9,TRUE,broad,ready,2026-06-25,done
Yellow fever,9,332,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,aedes vittatus,,mosquito,species,aedes vittatus,bridge_vector|primary_vector|sylvatic_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strict,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,,lit_review,,tax_id_missing; natural_infection_unknown,,,0,0,18,7,6,5,16,2,none,ready_for_model_spec_review,yes,9,TRUE,broad,ready,2026-06-25,done
Plague,10,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,paradoxopsyllus dashidorzhii,,flea,species,paradoxopsyllus dashidorzhii,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strong,TRUE,FALSE,TRUE,,FALSE,mixed,mixed,yes,lit_review,no_transmission_demonstrated,tax_id_missing; bites_humans_unknown,,,0,0,4,2,2,0,2,2,none,ready_for_model_spec_review,optional,0,TRUE,broad,ready,2026-06-23,done
Plague,11,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,paradoxopsyllus scorodumovi,,flea,species,paradoxopsyllus scorodumovi,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strong,TRUE,FALSE,TRUE,,FALSE,mixed,mixed,yes,lit_review,,tax_id_missing; bites_humans_unknown,,,0,0,4,2,2,0,2,2,none,ready_for_model_spec_review,optional,0,TRUE,broad,ready,2026-06-23,done
Rift Valley fever,12,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,culex antennatus,,mosquito,species,culex antennatus,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,candidate; confirmed,review,strong,TRUE,TRUE,TRUE,TRUE,TRUE,competent,yes,yes,EFSA; lit_review; lit_review,low_competence_or_efficiency,tax_id_missing,,,0,0,5,3,0,2,5,0,none,ready_for_model_spec_review,yes,59,TRUE,broad,ready,2026-06-24,done
Rift Valley fever,13,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,culex pipiens,,mosquito,species,culex pipiens,candidate_vector|primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed; probable,review,strong,TRUE,TRUE,TRUE,TRUE,TRUE,mixed,mixed,yes,EFSA; lit_review; lit_review,population_dependent|temperature_dependent,tax_id_missing,,,0,0,5,3,0,2,5,0,none,ready_for_model_spec_review,yes,59,TRUE,broad,ready,2026-06-24,done
West Nile fever,14,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,culex pipiens s l,,mosquito,sensu_lato,culex pipiens s l,bridge_vector|primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strong,TRUE,FALSE,TRUE,,FALSE,mixed,mixed,yes,EFSA; lit_review,strain_dependent,tax_id_missing; bites_humans_unknown,,,0,0,11,4,7,0,7,4,none,ready_for_model_spec_review,yes,51,TRUE,broad,ready,2026-06-25,done
West Nile fever,15,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,culex spp,,mosquito,genus_only,culex spp,primary_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strong,TRUE,FALSE,TRUE,,FALSE,competent,yes,,lit_review,,tax_id_missing; bites_humans_unknown; natural_infection_unknown,,,1,0,11,4,7,0,7,4,none,ready_for_model_spec_review,yes,51,TRUE,broad,ready,2026-06-25,done
Yellow fever,16,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,aedes furcifer,,mosquito,species,aedes furcifer,bridge_vector|primary_vector|semidomestic_vector|sylvatic_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strong,TRUE,FALSE,TRUE,,FALSE,competent,yes,yes,lit_review,field_detection_only,tax_id_missing; bites_humans_unknown,,,0,0,18,7,6,5,16,2,none,ready_for_model_spec_review,yes,9,TRUE,broad,ready,2026-06-25,done
Yellow fever,17,326,primary_hint_with_competence_support,review_before_allowing_hint_primary_bucket,aedes furcifer taylori,,mosquito,infraspecific,aedes furcifer taylori,primary_vector|sylvatic_vector,competence_supported_vector,competence_or_transmission_supported,primary_or_main_vector,competence_supported_vector,TRUE,confirmed,review,strong,TRUE,FALSE,TRUE,,FALSE,competent,yes,,lit_review,,tax_id_missing; bites_humans_unknown; natural_infection_unknown,,,0,0,18,7,6,5,16,2,none,ready_for_model_spec_review,yes,9,TRUE,broad,ready,2026-06-25,done
