disease_name,vector_role_bucket,vector_role_bucket_basis,vector_role_bucket_needs_review,biological_evidence_tier,best_evidence_level,vector_competence_status,bites_humans_true,rows
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,1
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,probable,competent,TRUE,2
Chikungunya fever,primary_or_main_vector,reviewed_vector_assignment,FALSE,strict,confirmed,competent,TRUE,2
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,FALSE,3
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,candidate,competent,TRUE,3
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,weak,competent,TRUE,2
Chikungunya fever,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,strong,candidate,competent,FALSE,1
Chikungunya fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strong,probable,competent,FALSE,1
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,candidate,,TRUE,2
Chikungunya fever,bridge_or_epidemic_vector,reviewed_vector_assignment,TRUE,supported,probable,unclear,FALSE,1
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,FALSE,1
Chikungunya fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,supported,probable,,TRUE,1
Chikungunya fever,enzootic_or_sylvatic_vector,reviewed_vector_assignment,TRUE,supported,probable,,FALSE,1
Crimean-Congo hemorrhagic fever,direct_association_only_vector,direct_disease_vector_evidence,FALSE,broad,candidate,,FALSE,5
Crimean-Congo hemorrhagic fever,unknown_or_unreviewed_vector,taxonomy_caution,TRUE,excluded,candidate,unclear,FALSE,2
Crimean-Congo hemorrhagic fever,competence_supported_vector,competence_or_transmission_supported,FALSE,strict,confirmed,competent,TRUE,8
