"X","Or_name","IUCN_Present","IUCN_id","IUCN_name","IUCN_Category","IUCN_N_syn","IUCN_syn","IUCN_Phylum","IUCN_Class","IUCN_Order","IUCN_Family","ITIS_Present","ITIS_is_valid","ITIS_id","ITIS_name","ITIS_Phylum","ITIS_N_syn","ITIS_syn","ITIS_Class","ITIS_Order","ITIS_Family","GBIF_Present","GBIF_id","GBIF_name","GBIF_N_syn","GBIF_syn","GBIF_Phylum","GBIF_Class","GBIF_Order","GBIF_Family"
1,"Acanthis flammea","Yes",22725044,"Acanthis flammea","LC",1,"Carduelis flammea","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE",TRUE,TRUE,"179241","Acanthis flammea","CHORDATA",1,"Carduelis flammea","AVES","PASSERIFORMES","FRINGILLIDAE",TRUE,NA,"Acanthis flammea",1,"Acanthis flammea","CHORDATA","AVES","PASSERIFORMES","FRINGILLIDAE"
1,"Acanthophis antarcticus","Yes",42492756,"Acanthophis antarcticus","LC",1,"Boa antarctica","CHORDATA","REPTILIA","SQUAMATA","ELAPIDAE",TRUE,TRUE,"700433","Acanthophis antarcticus","CHORDATA",1,"Boa antarctica","REPTILIA","SQUAMATA","ELAPIDAE",TRUE,NA,"Acanthophis antarcticus",1,"Acanthophis antarcticus","CHORDATA","SQUAMATA",NA,"ELAPIDAE"
1,"Accipiter cooperii","Yes",22695656,"Accipiter cooperii","LR/lc",NA,NA,"CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"Accipiter cooperii-Accipiter collaris",2,"Accipiter cooperii;Accipiter collaris","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE"
1,"Accipiter nisus","Yes",22695624,"Accipiter nisus","LR/lc",NA,NA,"CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,TRUE,"175333","Accipiter nisus","CHORDATA",1,"Falco nisus","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,NA,"Accipiter nisus-Accipiter nanus",2,"Accipiter nisus;Accipiter nanus","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE"
1,"Accipiter striatus","Yes",22734130,"Accipiter striatus","NR",NA,NA,"CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Accipiter striatus",1,"Accipiter striatus","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE"
1,"Accipiter trivirgatus","Yes",22695462,"Accipiter trivirgatus","LR/lc",NA,NA,"CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"NA-2480603","Accipiter trivirgatus-Accipiter trivigatus",2,"Accipiter trivirgatus;Accipiter trivigatus","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE"
1,"Acerodon celebensis","Yes",137,"Acerodon celebensis","LR/nt",NA,NA,"CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE",TRUE,TRUE,"631539","Acerodon celebensis","CHORDATA",1,"Pteropus celebensis","MAMMALIA","CHIROPTERA","PTEROPODIDAE",TRUE,NA,"Acerodon celebensis",1,"Acerodon celebensis","CHORDATA","MAMMALIA","CHIROPTERA","PTEROPODIDAE"
1,"Acinonyx jubatus","Yes",219,"Acinonyx jubatus","V",1,"Felis jubata","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE",TRUE,TRUE,"183813","Acinonyx jubatus","CHORDATA",1,"Felis jubata","MAMMALIA","CARNIVORA","FELIDAE",TRUE,NA,"Acinonyx jubatus-Acinonyx guttatus",2,"Acinonyx jubatus;Acinonyx guttatus","CHORDATA","MAMMALIA","CARNIVORA","FELIDAE"
1,"Acrocephalus dumetorum","Yes",22714736,"Acrocephalus dumetorum","LR/lc",NA,NA,"CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Acrocephalus dumetorum",1,"Acrocephalus dumetorum","CHORDATA","AVES","PASSERIFORMES","ACROCEPHALIDAE"
1,"Actitis macularius","Yes",22693277,"Actitis macularius","LR/lc",3,"Tringa macularia macularia;Actitis macularia macularia;Actitis macularia macularia","CHORDATA","AVES","CHARADRIIFORMES","SCOLOPACIDAE",TRUE,TRUE,"726049","Actitis macularius","CHORDATA",2,"Actitis macularia;Tringa macularia","AVES","CHARADRIIFORMES","SCOLOPACIDAE",TRUE,"NA-2481798","Actitis macularius-Actites macularia",2,"Actitis macularius;Actites macularia","CHORDATA","AVES","CHARADRIIFORMES","SCOLOPACIDAE"
1,"Aechmophorus occidentalis","Yes",22696631,"Aechmophorus occidentalis","LR/lc",NA,NA,"CHORDATA","AVES","PODICIPEDIFORMES","PODICIPEDIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Aechmophorus occidentalis",1,"Aechmophorus occidentalis","CHORDATA","AVES","PODICIPEDIFORMES","PODICIPEDIDAE"
1,"Aegithalos caudatus","Yes",103871923,"Aegithalos caudatus","LC",NA,NA,"CHORDATA","AVES","PASSERIFORMES","AEGITHALIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Aegithalos caudatus",1,"Aegithalos caudatus","CHORDATA","AVES","PASSERIFORMES","AEGITHALIDAE"
1,"Aegypius monachus","Yes",22695231,"Aegypius monachus","TRUE",NA,NA,"CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,TRUE,"175494","Aegypius monachus","CHORDATA",1,"Vultur monachus","AVES","ACCIPITRIFORMES","ACCIPITRIDAE",TRUE,NA,"Aegypius monachus",1,"Aegypius monachus","CHORDATA","AVES","ACCIPITRIFORMES","ACCIPITRIDAE"
1,"Agelaius phoeniceus","Yes",22724191,"Agelaius phoeniceus","NR",NA,NA,"CHORDATA","AVES","PASSERIFORMES","ICTERIDAE",TRUE,TRUE,"179045","Agelaius phoeniceus","CHORDATA",1,"Oriolus phoeniceus","AVES","PASSERIFORMES","ICTERIDAE",TRUE,NA,"Agelaius phoeniceus",1,"Agelaius phoeniceus","CHORDATA","AVES","PASSERIFORMES","ICTERIDAE"
1,"Agropsar sturninus","Yes",22710870,"Agropsar sturninus","LR/lc",1,"Sturnus sturninus","CHORDATA","AVES","PASSERIFORMES","STURNIDAE",TRUE,TRUE,"915880","Agropsar sturninus","CHORDATA",1,"Sturnus sturninus","AVES","PASSERIFORMES","STURNIDAE",TRUE,NA,"Agropsar sturninus",1,"Agropsar sturninus","CHORDATA","AVES","PASSERIFORMES","STURNIDAE"
1,"Ailuropoda melanoleuca","Yes",712,"Ailuropoda melanoleuca","N/A",1,"Ursus melanoleucus","CHORDATA","MAMMALIA","CARNIVORA","URSIDAE",TRUE,TRUE,"621845","Ailuropoda melanoleuca","CHORDATA",1,"Ursus melanoleucus","MAMMALIA","CARNIVORA","URSIDAE",TRUE,NA,"Ailuropoda melanoleuca",1,"Ailuropoda melanoleuca","CHORDATA","MAMMALIA","CARNIVORA","URSIDAE"
1,"Ailurus fulgens","Yes",714,"Ailurus fulgens","K",1,"Ailurus styani","CHORDATA","MAMMALIA","CARNIVORA","AILURIDAE",TRUE,TRUE,"621846","Ailurus fulgens","CHORDATA",1,"Ailurus ochraceus","MAMMALIA","CARNIVORA","AILURIDAE",TRUE,NA,"Ailurus fulgens",1,"Ailurus fulgens","CHORDATA","MAMMALIA","CARNIVORA","AILURIDAE"
1,"Aix galericulata","Yes",22680107,"Aix galericulata","NT",NA,NA,"CHORDATA","AVES","ANSERIFORMES","ANATIDAE",TRUE,TRUE,"175123","Aix galericulata","CHORDATA",1,"Anas galericulata","AVES","ANSERIFORMES","ANATIDAE",TRUE,NA,"Aix galericulata",1,"Aix galericulata","CHORDATA","AVES","ANSERIFORMES","ANATIDAE"
1,"Aix sponsa","Yes",22680104,"Aix sponsa","LR/lc",NA,NA,"CHORDATA","AVES","ANSERIFORMES","ANATIDAE",TRUE,TRUE,"175122","Aix sponsa","CHORDATA",1,"Anas sponsa","AVES","ANSERIFORMES","ANATIDAE",TRUE,NA,"Aix sponsa",1,"Aix sponsa","CHORDATA","AVES","ANSERIFORMES","ANATIDAE"
1,"Akodon azarae","Yes",726,"Akodon azarae","LR/lc",NA,NA,"CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Akodon azarae",1,"Akodon azarae","CHORDATA","MAMMALIA","RODENTIA","CRICETIDAE"
1,"Alca torda","Yes",22694852,"Alca torda","LR/lc",NA,NA,"CHORDATA","AVES","CHARADRIIFORMES","ALCIDAE",TRUE,TRUE,NA,NA,NA,1,NA,NA,NA,NA,TRUE,NA,"Alca torda",1,"Alca torda","CHORDATA","AVES","CHARADRIIFORMES","ALCIDAE"
1,"Alces alces","Yes",56003281,"Alces alces","LC",1,"Cervus alces","CHORDATA","MAMMALIA","ARTIODACTYLA","CERVIDAE",TRUE,TRUE,"180703","Alces alces","CHORDATA",1,"Cervus alces","MAMMALIA","ARTIODACTYLA","CERVIDAE",TRUE,"NA-2440940","Alces alces-Alces alce",2,"Alces alces;Alces alce","CHORDATA","MAMMALIA","ARTIODACTYLA","CERVIDAE"
