disease_name,expanded_rows,confirmed_by_both_rows,host_vector_only_candidate_rows,distinct_hosts,distinct_vectors,taxonomy_caution_rows
West Nile fever,2258,506,1752,139,576,43
Venezuelan equine encephalitis,1551,81,1470,46,549,43
Severe fever with thrombocytopenia syndrome (SFTS),1496,24,1472,19,533,31
Crimean-Congo hemorrhagic fever,1345,233,1112,50,521,40
Tick-borne encephalitis,1296,19,1277,33,518,26
Rift Valley fever,1169,157,1012,32,505,37
Plague,851,41,810,26,450,24
Dengue,608,11,597,12,426,13
Chikungunya fever,430,14,416,14,377,13
Zika virus disease,383,35,348,7,356,7
Yellow fever,364,12,352,21,342,7
Oropouche fever,336,10,326,2,334,6
