disease_name,total_disease_vector_rows,total_distinct_disease_vectors,disease_vectors_with_host_overlap,final_disease_host_vector_rows,final_distinct_hosts,final_distinct_vectors,taxonomy_caution_rows
West Nile fever,75,75,47,506,99,47,0
Crimean-Congo hemorrhagic fever,49,49,35,233,33,35,17
Rift Valley fever,88,78,46,157,22,45,4
Venezuelan equine encephalitis,43,35,22,81,20,20,0
Plague,47,47,13,41,17,12,5
Zika virus disease,57,55,29,35,5,28,1
Severe fever with thrombocytopenia syndrome (SFTS),15,15,7,24,7,7,0
Tick-borne encephalitis,11,11,7,19,5,6,0
Chikungunya fever,21,21,13,14,3,12,0
Yellow fever,32,30,13,12,1,12,0
Dengue,16,16,7,11,3,6,0
Oropouche fever,16,15,10,10,1,10,0
