species_key,species,model_file_count,model_paths,source_labels,has_top_level_model,has_nested_model,nested_contexts,has_ensemble_mean,has_tss_clipped,prediction_statuses
acanthophis antarcticus,Acanthophis antarcticus,1,hosts/Acanthophis_antarcticus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Acanthophis_antarcticus,TRUE,TRUE,completed
acinonyx jubatus,Acinonyx jubatus,1,hosts/Acinonyx_jubatus/model.rds,gonzalo_reference,FALSE,TRUE,hosts/Acinonyx_jubatus,TRUE,TRUE,completed
acomys dimidiatus,Acomys dimidiatus,1,hosts/Acomys_dimidiatus/model.rds,host_vector_server_rerun,FALSE,TRUE,hosts/Acomys_dimidiatus,TRUE,TRUE,completed
aedes aedimorphus dentatus,Aedes aedimorphus dentatus,1,vectors/Aedes_aedimorphus_dentatus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_aedimorphus_dentatus,TRUE,TRUE,completed
aedes aedimorphus vexans arabiensis,Aedes aedimorphus vexans arabiensis,1,vectors/Aedes_aedimorphus_vexans_arabiensis/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_aedimorphus_vexans_arabiensis,TRUE,TRUE,completed
aedes aegypti,Aedes aegypti,1,vectors/Aedes_aegypti/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_aegypti,TRUE,TRUE,completed
aedes albopictus,Aedes albopictus,1,vectors/Aedes_albopictus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_albopictus,TRUE,TRUE,completed
aedes atlanticus,Aedes atlanticus,1,vectors/Aedes_atlanticus/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_atlanticus,TRUE,TRUE,completed
aedes canadensis,Aedes canadensis,1,vectors/Aedes_canadensis/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_canadensis,TRUE,TRUE,completed
aedes cantans,Aedes cantans,1,vectors/Aedes_cantans/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_cantans,TRUE,TRUE,completed
aedes caspius,Aedes caspius,1,vectors/Aedes_caspius/model.rds,host_vector_server_rerun,FALSE,TRUE,vectors/Aedes_caspius,TRUE,TRUE,completed
