"species_name","species_name_canonical","species_role","sdm_needed_for_disease","run_priority","occurrence_method","start_year","end_year","taxon_key","gbif_matched_name","gbif_download_key","request_status","gbif_status","gbif_doi","gbif_download_link","gbif_total_records","gbif_size","gbif_created","gbif_modified","submitted_at","status_checked_at","import_status","cleaned_path","occurrence_summary_path","notes"
"Aedes albopictus","Aedes albopictus","vector","yes",1,"gbif-download",2015,2025,,"","0032001-260519110011954","seeded_from_existing_raw","","","",123719,,"","","2026-06-02T18:02:26Z","","already_cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_albopictus/gbif-download/cleaned/Aedes_albopictus_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_albopictus/gbif-download/occurrence_preparation_summary.csv","Seeded from /Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_albopictus/gbif-download/raw/raw_download_manifest.csv"
"Aedes aegypti","Aedes aegypti","vector","yes",1,"gbif-download",1970,2026,1651891,"Aedes aegypti","0032233-260519110011954","submitted","SUCCEEDED","10.15468/dl.gu6n4y","https://api.gbif.org/v1/occurrence/download/request/0032233-260519110011954.zip",68273,4696307,"2026-06-02T19:24:02.014+00:00","2026-06-02T19:36:12.376+00:00","2026-06-02T19:24:02Z","2026-06-02T23:34:13Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_aegypti/gbif-download/cleaned/Aedes_aegypti_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_aegypti/gbif-download/occurrence_preparation_summary.csv",""
"Aedes africanus","Aedes africanus","vector","yes",1,"gbif-download",1970,2026,1651242,"Aedes africanus","0032235-260519110011954","submitted","SUCCEEDED","10.15468/dl.pk3295","https://api.gbif.org/v1/occurrence/download/request/0032235-260519110011954.zip",150,5406,"2026-06-02T19:24:04.505+00:00","2026-06-02T19:25:42.239+00:00","2026-06-02T19:24:04Z","2026-06-02T23:34:40Z","cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_africanus/gbif-download/cleaned/Aedes_africanus_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_africanus/gbif-download/occurrence_preparation_summary.csv",""
"Aedes albopictus","Aedes albopictus","vector","yes",1,"gbif-download",1970,2026,1651430,"Aedes albopictus","0032236-260519110011954","submitted","SUCCEEDED","10.15468/dl.tgju24","https://api.gbif.org/v1/occurrence/download/request/0032236-260519110011954.zip",164764,11133345,"2026-06-02T19:24:07.584+00:00","2026-06-02T19:36:18.192+00:00","2026-06-02T19:24:07Z","2026-06-02T23:34:49Z","already_cleaned","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_albopictus/gbif-download/cleaned/Aedes_albopictus_cleaned.csv","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_albopictus/gbif-download/occurrence_preparation_summary.csv",""
"Aedes fulgens","Aedes fulgens","vector","yes",1,"gbif-download",1970,2026,,"","","failed","","","",,,"","","","","","","","A download limitation is exceeded:
User atrebski24 has too many simultaneous downloads; the limit is 3.
Please wait for some to complete, or cancel any unwanted downloads.  See your user page.
"
"Aedes furcifer","Aedes furcifer","vector","yes",1,"gbif-download",1970,2026,,"","","failed","","","",,,"","","","","","","","A download limitation is exceeded:
User atrebski24 has too many simultaneous downloads; the limit is 3.
Please wait for some to complete, or cancel any unwanted downloads.  See your user page.
"
"Aedes furcifer taylori","Aedes furcifer taylori","vector","yes",1,"gbif-download",1970,2026,,"","","failed","","","",,,"","","","","","","","A download limitation is exceeded:
User atrebski24 has too many simultaneous downloads; the limit is 3.
Please wait for some to complete, or cancel any unwanted downloads.  See your user page.
"
"Aedes hensilli","Aedes hensilli","vector","yes",1,"gbif-download",1970,2026,,"","","failed","","","",,,"","","","","","","","A download limitation is exceeded:
User atrebski24 has too many simultaneous downloads; the limit is 3.
Please wait for some to complete, or cancel any unwanted downloads.  See your user page.
"
"Aedes luteocephalus","Aedes luteocephalus","vector","yes",1,"gbif-download",1970,2026,,"","","failed","","","",,,"","","","","","","","A download limitation is exceeded:
User atrebski24 has too many simultaneous downloads; the limit is 3.
Please wait for some to complete, or cancel any unwanted downloads.  See your user page.
"
"Aedes notoscriptus","Aedes notoscriptus","vector","yes",1,"gbif-download",1970,2026,,"","","failed","","","",,,"","","","","","","","A download limitation is exceeded:
User atrebski24 has too many simultaneous downloads; the limit is 3.
Please wait for some to complete, or cancel any unwanted downloads.  See your user page.
"
