"species_name","source_method","source_dataset","output_path","rows","coordinate_rows","unique_coordinate_rows","source_species_column","latitude_column","longitude_column","source_path","extracted_at"
"Aedes aegypti","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_aegypti/vectormap/raw/Aedes_aegypti_vectormap_occurrences.csv",29347,28396,10907,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:06Z"
"Aedes aegypti","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_aegypti/mapveu/raw/Aedes_aegypti_mapveu_occurrences.csv",29473,29090,2341,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:06Z"
"Aedes africanus","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_africanus/vectormap/raw/Aedes_africanus_vectormap_occurrences.csv",185,185,87,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:06Z"
"Aedes africanus","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:06Z"
"Aedes albopictus","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_albopictus/vectormap/raw/Aedes_albopictus_vectormap_occurrences.csv",41037,40703,13846,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:06Z"
"Aedes albopictus","mapveu","MapVEu sample + collection site + collection metadata","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_albopictus/mapveu/raw/Aedes_albopictus_mapveu_occurrences.csv",34866,34858,2987,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:06Z"
"Aedes fulgens","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_fulgens/vectormap/raw/Aedes_fulgens_vectormap_occurrences.csv",19,19,3,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:06Z"
"Aedes fulgens","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:06Z"
"Aedes furcifer","vectormap","VectorMap MosquitoMap2","/Users/arturtrebski/Coding_Projects/new_global_maxent/sdms/runs/chikungunya/calibration/occurrences/Aedes_furcifer/vectormap/raw/Aedes_furcifer_vectormap_occurrences.csv",29,29,13,"ScientificName","DecimalLatitude","DecimalLongitude","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/vectormap/raw/MosquitoMap2_2627680870621077260.csv","2026-06-02T14:14:06Z"
"Aedes furcifer","mapveu","MapVEu sample + collection site + collection metadata",,0,0,0,"species [OBI_0001909]","Latitude [OBI_0001620]","Longitude [OBI_0001621]","/Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Sample_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection site_subsettedData.txt; /Users/arturtrebski/Coding_Projects/new_global_maxent/pathogen_association_data/source_data/mapveu/raw/VBP_MEGA_Collection_subsettedData.txt","2026-06-02T14:14:06Z"
