species_name,species_safe,cleaned_path,n_rows,flag_taxonomy_review,multi_high_taxonomy_levels,multi_any_taxonomy_levels,non_animalia,non_chordata,non_mammalia,species_value_mismatch,mismatched_species_values,manifest_taxonomy_mismatch_levels,n_unique_kingdom,n_unique_phylum,n_unique_class,n_unique_order,n_unique_family,n_unique_genus,n_unique_species,values_kingdom,values_phylum,values_class,values_order,values_family,values_genus,values_species
Alexandromys fortis,Alexandromys_fortis,sdms/runs/host_sdm_push/occurrences/Alexandromys_fortis/gbif-download/cleaned/Alexandromys_fortis_cleaned.csv,7,TRUE,,,FALSE,FALSE,FALSE,TRUE,Microtus fortis,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus fortis
Alexandromys maximowiczii,Alexandromys_maximowiczii,sdms/runs/host_sdm_push/occurrences/Alexandromys_maximowiczii/gbif-download/cleaned/Alexandromys_maximowiczii_cleaned.csv,3,TRUE,,,FALSE,FALSE,FALSE,TRUE,Microtus maximowiczii,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus maximowiczii
Alexandromys oeconomus,Alexandromys_oeconomus,sdms/runs/host_sdm_push/occurrences/Alexandromys_oeconomus/gbif-download/cleaned/Alexandromys_oeconomus_cleaned.csv,617,TRUE,,,FALSE,FALSE,FALSE,TRUE,Microtus oeconomus,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,Microtus oeconomus
Anourosorex squamipes,Anourosorex_squamipes,sdms/runs/host_sdm_push/occurrences/Anourosorex_squamipes/gbif-download/cleaned/Anourosorex_squamipes_cleaned.csv,35,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Anourosorex,Anourosorex squamipes
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,sdms/runs/host_sdm_push/occurrences/Balaenoptera_acutorostrata/gbif-download/cleaned/Balaenoptera_acutorostrata_cleaned.csv,1061,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,Balaenoptera acutorostrata
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,sdms/runs/host_sdm_push/occurrences/Cephalorhynchus_eutropia/gbif-download/cleaned/Cephalorhynchus_eutropia_cleaned.csv,264,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Cephalorhynchus,Cephalorhynchus eutropia
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,sdms/runs/host_sdm_push/occurrences/Cercopithecus_mitis_kandti/gbif-download/cleaned/Cercopithecus_mitis_kandti_cleaned.csv,189,TRUE,,,FALSE,FALSE,FALSE,TRUE,Cercopithecus mitis,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus mitis
Clethrionomys gapperi,Clethrionomys_gapperi,sdms/runs/host_sdm_push/occurrences/Clethrionomys_gapperi/gbif-download/cleaned/Clethrionomys_gapperi_cleaned.csv,4561,TRUE,,,FALSE,FALSE,FALSE,TRUE,Myodes gapperi,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,Myodes gapperi
Crocidura lasiura,Crocidura_lasiura,sdms/runs/host_sdm_push/occurrences/Crocidura_lasiura/gbif-download/cleaned/Crocidura_lasiura_cleaned.csv,72,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura lasiura
Crocidura olivieri,Crocidura_olivieri,sdms/runs/host_sdm_push/occurrences/Crocidura_olivieri/gbif-download/cleaned/Crocidura_olivieri_cleaned.csv,1058,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura olivieri
Crocidura shantungensis,Crocidura_shantungensis,sdms/runs/host_sdm_push/occurrences/Crocidura_shantungensis/gbif-download/cleaned/Crocidura_shantungensis_cleaned.csv,74,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Crocidura,Crocidura shantungensis
Delphinapterus leucas,Delphinapterus_leucas,sdms/runs/host_sdm_push/occurrences/Delphinapterus_leucas/gbif-download/cleaned/Delphinapterus_leucas_cleaned.csv,580,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Monodontidae,Delphinapterus,Delphinapterus leucas
Delphinus delphis,Delphinus_delphis,sdms/runs/host_sdm_push/occurrences/Delphinus_delphis/gbif-download/cleaned/Delphinus_delphis_cleaned.csv,12291,TRUE,,,FALSE,FALSE,FALSE,FALSE,,order,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Delphinus,Delphinus delphis
Dicotyles tajacu,Dicotyles_tajacu,sdms/runs/host_sdm_push/occurrences/Dicotyles_tajacu/gbif-download/cleaned/Dicotyles_tajacu_cleaned.csv,206,TRUE,,,FALSE,FALSE,FALSE,TRUE,Pecari tajacu,,1,1,1,1,1,1,1,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari,Pecari tajacu
