species_name,species_safe,taxonomy_level,value,n_records
Acomys cahirinus,Acomys_cahirinus,class,Mammalia,30
Acomys cahirinus,Acomys_cahirinus,family,Muridae,30
Acomys cahirinus,Acomys_cahirinus,genus,Acomys,30
Acomys cahirinus,Acomys_cahirinus,kingdom,Animalia,30
Acomys cahirinus,Acomys_cahirinus,order,Rodentia,30
Acomys cahirinus,Acomys_cahirinus,phylum,Chordata,30
Acomys cahirinus,Acomys_cahirinus,species,Acomys cahirinus,30
Acomys dimidiatus,Acomys_dimidiatus,class,Mammalia,676
Acomys dimidiatus,Acomys_dimidiatus,family,Muridae,676
Acomys dimidiatus,Acomys_dimidiatus,genus,Acomys,676
Acomys dimidiatus,Acomys_dimidiatus,kingdom,Animalia,676
Acomys dimidiatus,Acomys_dimidiatus,order,Rodentia,676
Acomys dimidiatus,Acomys_dimidiatus,phylum,Chordata,676
Acomys dimidiatus,Acomys_dimidiatus,species,Acomys dimidiatus,676
Aepyceros melampus,Aepyceros_melampus,class,Mammalia,17674
Aepyceros melampus,Aepyceros_melampus,family,Bovidae,17674
Aepyceros melampus,Aepyceros_melampus,genus,Aepyceros,17674
Aepyceros melampus,Aepyceros_melampus,kingdom,Animalia,17674
Aepyceros melampus,Aepyceros_melampus,order,Artiodactyla,17674
Aepyceros melampus,Aepyceros_melampus,phylum,Chordata,17674
Aepyceros melampus,Aepyceros_melampus,species,Aepyceros melampus,17674
Aethomys kaiseri,Aethomys_kaiseri,class,Mammalia,35
Aethomys kaiseri,Aethomys_kaiseri,family,Muridae,35
Aethomys kaiseri,Aethomys_kaiseri,genus,Aethomys,35
Aethomys kaiseri,Aethomys_kaiseri,kingdom,Animalia,35
Aethomys kaiseri,Aethomys_kaiseri,order,Rodentia,35
Aethomys kaiseri,Aethomys_kaiseri,phylum,Chordata,35
Aethomys kaiseri,Aethomys_kaiseri,species,Aethomys kaiseri,35
Alcelaphus buselaphus,Alcelaphus_buselaphus,class,Mammalia,3615
Alcelaphus buselaphus,Alcelaphus_buselaphus,family,Bovidae,3615
Alcelaphus buselaphus,Alcelaphus_buselaphus,genus,Alcelaphus,3615
Alcelaphus buselaphus,Alcelaphus_buselaphus,kingdom,Animalia,3615
Alcelaphus buselaphus,Alcelaphus_buselaphus,order,Artiodactyla,3615
Alcelaphus buselaphus,Alcelaphus_buselaphus,phylum,Chordata,3615
Alcelaphus buselaphus,Alcelaphus_buselaphus,species,Alcelaphus buselaphus,3615
Alexandromys fortis,Alexandromys_fortis,class,Mammalia,7
Alexandromys fortis,Alexandromys_fortis,family,Cricetidae,7
Alexandromys fortis,Alexandromys_fortis,genus,Microtus,7
Alexandromys fortis,Alexandromys_fortis,kingdom,Animalia,7
Alexandromys fortis,Alexandromys_fortis,order,Rodentia,7
Alexandromys fortis,Alexandromys_fortis,phylum,Chordata,7
Alexandromys fortis,Alexandromys_fortis,species,Microtus fortis,7
Alexandromys maximowiczii,Alexandromys_maximowiczii,class,Mammalia,3
Alexandromys maximowiczii,Alexandromys_maximowiczii,family,Cricetidae,3
Alexandromys maximowiczii,Alexandromys_maximowiczii,genus,Microtus,3
Alexandromys maximowiczii,Alexandromys_maximowiczii,kingdom,Animalia,3
Alexandromys maximowiczii,Alexandromys_maximowiczii,order,Rodentia,3
Alexandromys maximowiczii,Alexandromys_maximowiczii,phylum,Chordata,3
Alexandromys maximowiczii,Alexandromys_maximowiczii,species,Microtus maximowiczii,3
Alexandromys oeconomus,Alexandromys_oeconomus,class,Mammalia,617
Alexandromys oeconomus,Alexandromys_oeconomus,family,Cricetidae,617
Alexandromys oeconomus,Alexandromys_oeconomus,genus,Microtus,617
Alexandromys oeconomus,Alexandromys_oeconomus,kingdom,Animalia,617
Alexandromys oeconomus,Alexandromys_oeconomus,order,Rodentia,617
Alexandromys oeconomus,Alexandromys_oeconomus,phylum,Chordata,617
Alexandromys oeconomus,Alexandromys_oeconomus,species,Microtus oeconomus,617
Alticola argentatus,Alticola_argentatus,class,Mammalia,20
Alticola argentatus,Alticola_argentatus,family,Cricetidae,20
Alticola argentatus,Alticola_argentatus,genus,Alticola,20
Alticola argentatus,Alticola_argentatus,kingdom,Animalia,20
Alticola argentatus,Alticola_argentatus,order,Rodentia,20
Alticola argentatus,Alticola_argentatus,phylum,Chordata,20
Alticola argentatus,Alticola_argentatus,species,Alticola argentatus,20
Anoura geoffroyi,Anoura_geoffroyi,class,Mammalia,858
Anoura geoffroyi,Anoura_geoffroyi,family,Phyllostomidae,858
Anoura geoffroyi,Anoura_geoffroyi,genus,Anoura,858
Anoura geoffroyi,Anoura_geoffroyi,kingdom,Animalia,858
Anoura geoffroyi,Anoura_geoffroyi,order,Chiroptera,858
Anoura geoffroyi,Anoura_geoffroyi,phylum,Chordata,858
Anoura geoffroyi,Anoura_geoffroyi,species,Anoura geoffroyi,858
Anourosorex squamipes,Anourosorex_squamipes,class,Mammalia,35
Anourosorex squamipes,Anourosorex_squamipes,family,Soricidae,35
Anourosorex squamipes,Anourosorex_squamipes,genus,Anourosorex,35
Anourosorex squamipes,Anourosorex_squamipes,kingdom,Animalia,35
Anourosorex squamipes,Anourosorex_squamipes,order,Soricomorpha,35
Anourosorex squamipes,Anourosorex_squamipes,phylum,Chordata,35
Anourosorex squamipes,Anourosorex_squamipes,species,Anourosorex squamipes,35
Apodemus chejuensis,Apodemus_chejuensis,class,Mammalia,25
Apodemus chejuensis,Apodemus_chejuensis,family,Muridae,25
Apodemus chejuensis,Apodemus_chejuensis,genus,Apodemus,25
Apodemus chejuensis,Apodemus_chejuensis,kingdom,Animalia,25
Apodemus chejuensis,Apodemus_chejuensis,order,Rodentia,25
Apodemus chejuensis,Apodemus_chejuensis,phylum,Chordata,25
Apodemus chejuensis,Apodemus_chejuensis,species,Apodemus chejuensis,25
Apodemus pallipes,Apodemus_pallipes,class,Mammalia,11
Apodemus pallipes,Apodemus_pallipes,family,Muridae,11
Apodemus pallipes,Apodemus_pallipes,genus,Apodemus,11
Apodemus pallipes,Apodemus_pallipes,kingdom,Animalia,11
Apodemus pallipes,Apodemus_pallipes,order,Rodentia,11
Apodemus pallipes,Apodemus_pallipes,phylum,Chordata,11
Apodemus pallipes,Apodemus_pallipes,species,Apodemus pallipes,11
Artibeus cinereus,Artibeus_cinereus,class,Mammalia,331
Artibeus cinereus,Artibeus_cinereus,family,Phyllostomidae,331
Artibeus cinereus,Artibeus_cinereus,genus,Artibeus,331
Artibeus cinereus,Artibeus_cinereus,kingdom,Animalia,331
Artibeus cinereus,Artibeus_cinereus,order,Chiroptera,331
Artibeus cinereus,Artibeus_cinereus,phylum,Chordata,331
Artibeus cinereus,Artibeus_cinereus,species,Artibeus cinereus,331
Ateles paniscus,Ateles_paniscus,class,Mammalia,2209
Ateles paniscus,Ateles_paniscus,family,Atelidae,2209
Ateles paniscus,Ateles_paniscus,genus,Ateles,2209
Ateles paniscus,Ateles_paniscus,kingdom,Animalia,2209
Ateles paniscus,Ateles_paniscus,order,Primates,2209
Ateles paniscus,Ateles_paniscus,phylum,Chordata,2209
Ateles paniscus,Ateles_paniscus,species,Ateles paniscus,2209
Babyrousa babyrussa,Babyrousa_babyrussa,class,Mammalia,2
Babyrousa babyrussa,Babyrousa_babyrussa,family,Suidae,2
Babyrousa babyrussa,Babyrousa_babyrussa,genus,Babyrousa,2
Babyrousa babyrussa,Babyrousa_babyrussa,kingdom,Animalia,2
Babyrousa babyrussa,Babyrousa_babyrussa,order,Artiodactyla,2
Babyrousa babyrussa,Babyrousa_babyrussa,phylum,Chordata,2
Babyrousa babyrussa,Babyrousa_babyrussa,species,Babyrousa babyrussa,2
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,class,Mammalia,1061
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,family,Balaenopteridae,1061
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,genus,Balaenoptera,1061
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,kingdom,Animalia,1061
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,order,Cetacea,1061
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,phylum,Chordata,1061
Balaenoptera acutorostrata,Balaenoptera_acutorostrata,species,Balaenoptera acutorostrata,1061
Bandicota bengalensis,Bandicota_bengalensis,class,Mammalia,35
Bandicota bengalensis,Bandicota_bengalensis,family,Muridae,35
Bandicota bengalensis,Bandicota_bengalensis,genus,Bandicota,35
Bandicota bengalensis,Bandicota_bengalensis,kingdom,Animalia,35
Bandicota bengalensis,Bandicota_bengalensis,order,Rodentia,35
Bandicota bengalensis,Bandicota_bengalensis,phylum,Chordata,35
Bandicota bengalensis,Bandicota_bengalensis,species,Bandicota bengalensis,35
Bandicota savilei,Bandicota_savilei,class,Mammalia,30
Bandicota savilei,Bandicota_savilei,family,Muridae,30
Bandicota savilei,Bandicota_savilei,genus,Bandicota,30
Bandicota savilei,Bandicota_savilei,kingdom,Animalia,30
Bandicota savilei,Bandicota_savilei,order,Rodentia,30
Bandicota savilei,Bandicota_savilei,phylum,Chordata,30
Bandicota savilei,Bandicota_savilei,species,Bandicota savilei,30
Barbastella barbastellus,Barbastella_barbastellus,class,Mammalia,97030
Barbastella barbastellus,Barbastella_barbastellus,family,Vespertilionidae,97030
Barbastella barbastellus,Barbastella_barbastellus,genus,Barbastella,97030
Barbastella barbastellus,Barbastella_barbastellus,kingdom,Animalia,97030
Barbastella barbastellus,Barbastella_barbastellus,order,Chiroptera,97030
Barbastella barbastellus,Barbastella_barbastellus,phylum,Chordata,97030
Barbastella barbastellus,Barbastella_barbastellus,species,Barbastella barbastellus,97030
Bassariscus astutus,Bassariscus_astutus,class,Mammalia,5854
Bassariscus astutus,Bassariscus_astutus,family,Procyonidae,5854
Bassariscus astutus,Bassariscus_astutus,genus,Bassariscus,5854
Bassariscus astutus,Bassariscus_astutus,kingdom,Animalia,5854
Bassariscus astutus,Bassariscus_astutus,order,Carnivora,5854
Bassariscus astutus,Bassariscus_astutus,phylum,Chordata,5854
Bassariscus astutus,Bassariscus_astutus,species,Bassariscus astutus,5854
Callospermophilus lateralis,Callospermophilus_lateralis,class,Mammalia,17579
Callospermophilus lateralis,Callospermophilus_lateralis,family,Sciuridae,17579
Callospermophilus lateralis,Callospermophilus_lateralis,genus,Callospermophilus,17579
Callospermophilus lateralis,Callospermophilus_lateralis,kingdom,Animalia,17579
Callospermophilus lateralis,Callospermophilus_lateralis,order,Rodentia,17579
Callospermophilus lateralis,Callospermophilus_lateralis,phylum,Chordata,17579
Callospermophilus lateralis,Callospermophilus_lateralis,species,Callospermophilus lateralis,17579
Canis mesomelas,Canis_mesomelas,class,Mammalia,336
Canis mesomelas,Canis_mesomelas,family,Canidae,336
Canis mesomelas,Canis_mesomelas,genus,Canis,336
Canis mesomelas,Canis_mesomelas,kingdom,Animalia,336
Canis mesomelas,Canis_mesomelas,order,Carnivora,336
Canis mesomelas,Canis_mesomelas,phylum,Chordata,336
Canis mesomelas,Canis_mesomelas,species,Canis mesomelas,336
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,class,Mammalia,264
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,family,Delphinidae,264
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,genus,Cephalorhynchus,264
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,kingdom,Animalia,264
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,order,Cetacea,264
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,phylum,Chordata,264
Cephalorhynchus eutropia,Cephalorhynchus_eutropia,species,Cephalorhynchus eutropia,264
Cercopithecus diana,Cercopithecus_diana,class,Mammalia,159
Cercopithecus diana,Cercopithecus_diana,family,Cercopithecidae,159
Cercopithecus diana,Cercopithecus_diana,genus,Cercopithecus,159
Cercopithecus diana,Cercopithecus_diana,kingdom,Animalia,159
Cercopithecus diana,Cercopithecus_diana,order,Primates,159
Cercopithecus diana,Cercopithecus_diana,phylum,Chordata,159
Cercopithecus diana,Cercopithecus_diana,species,Cercopithecus diana,159
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,class,Mammalia,189
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,family,Cercopithecidae,189
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,genus,Cercopithecus,189
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,kingdom,Animalia,189
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,order,Primates,189
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,phylum,Chordata,189
Cercopithecus mitis kandti,Cercopithecus_mitis_kandti,species,Cercopithecus mitis,189
Cercopithecus mona,Cercopithecus_mona,class,Mammalia,241
Cercopithecus mona,Cercopithecus_mona,family,Cercopithecidae,241
Cercopithecus mona,Cercopithecus_mona,genus,Cercopithecus,241
Cercopithecus mona,Cercopithecus_mona,kingdom,Animalia,241
Cercopithecus mona,Cercopithecus_mona,order,Primates,241
Cercopithecus mona,Cercopithecus_mona,phylum,Chordata,241
