species_name,species_name_canonical,species_role,sdm_needed_for_disease,sdm_available,sdm_species,run_status,run_priority,occurrence_method,gbif_occurrence_method,start_year,end_year,min_points,disease_count,disease_names,pilot_include_disease_names,analysis_unit_ids,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,has_pilot_disease,has_pilot_include_disease,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation,first_pass_eligible,eligibility_status,eligibility_reasons,taxonomy_review_needed,taxonomy_review_reason,taxonomy_override_applied,taxonomy_override_notes,existing_model_path,occurrence_status,occurrence_rows_raw,occurrence_rows_clean,passes_min_points,gbif_occurrence_path,local_occurrence_path,combined_occurrence_path,model_status,model_output_path,synonym_review_status,synonym_notes,notes
Pteropus poliocephalus,Pteropus poliocephalus,host,yes,FALSE,Pteropus poliocephalus,occurrences_ready,1,gbif-download,gbif-download,2000,2026,20,1,Hendra,Hendra,,Chordata,Mammalia,Chiroptera,Pteropodidae,FALSE,TRUE,TRUE,0,2,4,1,6,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,93405,91308,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Pteropus_poliocephalus/gbif-download/cleaned/Pteropus_poliocephalus_cleaned.csv,,,not_run,,not_audited,,
Alexandromys oeconomus,Alexandromys oeconomus,host,yes,FALSE,Alexandromys oeconomus,occurrences_ready,2,gbif-download,gbif-download,2000,2026,20,1,Tick-borne encephalitis,Tick-borne encephalitis,,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,TRUE,TRUE,0,3,2,0,5,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,619,617,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Alexandromys_oeconomus/gbif-download/cleaned/Alexandromys_oeconomus_cleaned.csv,,,not_run,,not_audited,,
Myodes rufocanus,Myodes rufocanus,host,yes,FALSE,Myodes rufocanus,occurrences_ready,3,gbif-download,gbif-download,2000,2026,20,1,Tick-borne encephalitis,Tick-borne encephalitis,,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,TRUE,TRUE,0,4,1,0,5,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,2641,2513,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Myodes_rufocanus/gbif-download/cleaned/Myodes_rufocanus_cleaned.csv,,,not_run,,not_audited,,
Mirounga angustirostris,Mirounga angustirostris,host,yes,FALSE,Mirounga angustirostris,occurrences_ready,4,gbif-download,gbif-download,2000,2026,20,3,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Non-typhoidal salmonellosis,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Carnivora,Phocidae,FALSE,TRUE,TRUE,0,2,2,0,4,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,10207,1719,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Mirounga_angustirostris/gbif-download/cleaned/Mirounga_angustirostris_cleaned.csv,,,not_run,,not_audited,,
Globicephala melas,Globicephala melas,host,yes,FALSE,Globicephala melas,occurrences_ready,5,gbif-download,gbif-download,2000,2026,20,2,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),,Chordata,Mammalia,Artiodactyla,Delphinidae,FALSE,TRUE,TRUE,0,2,2,0,4,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,9103,681,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Globicephala_melas/gbif-download/cleaned/Globicephala_melas_cleaned.csv,,,not_run,,not_audited,,
Connochaetes taurinus,Connochaetes taurinus,host,yes,FALSE,Connochaetes taurinus,occurrences_ready,6,gbif-download,gbif-download,2000,2026,20,1,Rift Valley fever,Rift Valley fever,,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,TRUE,TRUE,1,2,2,3,4,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,12098,11998,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Connochaetes_taurinus/gbif-download/cleaned/Connochaetes_taurinus_cleaned.csv,,,not_run,,not_audited,,
Stenocranius gregalis,Stenocranius gregalis,host,yes,FALSE,Stenocranius gregalis,occurrences_ready,7,gbif-download,gbif-download,2000,2026,20,1,Tick-borne encephalitis,Tick-borne encephalitis,,Chordata,Mammalia,Rodentia,Cricetidae,FALSE,TRUE,TRUE,0,2,2,0,4,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,225,225,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Stenocranius_gregalis/gbif-download/cleaned/Stenocranius_gregalis_cleaned.csv,,,not_run,,not_audited,,
Tamiasciurus hudsonicus,Tamiasciurus hudsonicus,host,yes,FALSE,Tamiasciurus hudsonicus,occurrences_ready,8,gbif-download,gbif-download,2000,2026,20,1,West Nile fever,West Nile fever,,Chordata,Mammalia,Rodentia,Sciuridae,FALSE,TRUE,TRUE,0,2,2,2,4,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,72996,67822,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Tamiasciurus_hudsonicus/gbif-download/cleaned/Tamiasciurus_hudsonicus_cleaned.csv,,,not_run,,not_audited,,
Giraffa camelopardalis,Giraffa camelopardalis,host,yes,FALSE,Giraffa camelopardalis,occurrences_ready,9,gbif-download,gbif-download,2000,2026,20,4,Crimean-Congo hemorrhagic fever; Hepatitis E; Rift Valley fever; West Nile fever,Crimean-Congo hemorrhagic fever; Hepatitis E; Rift Valley fever; West Nile fever,,Chordata,Mammalia,Artiodactyla,Giraffidae,FALSE,TRUE,TRUE,1,2,1,5,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,3581,2811,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Giraffa_camelopardalis/gbif-download/cleaned/Giraffa_camelopardalis_cleaned.csv,,,not_run,,not_audited,,
Molossus nigricans,Molossus nigricans,host,yes,FALSE,Molossus nigricans,occurrences_ready,10,gbif-download,gbif-download,2000,2026,20,3,Chikungunya fever; Dengue; Zika virus disease,Chikungunya fever; Dengue; Zika virus disease,,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,TRUE,TRUE,0,3,0,0,3,TRUE,first_pass_eligible,"",FALSE,"",FALSE,,,cleaned_with_sdm_pipeline,153,152,TRUE,/Volumes/LaCie/host_vector_sdm_runner/data/occurrences/host/Molossus_nigricans/gbif-download/cleaned/Molossus_nigricans_cleaned.csv,,,not_run,,not_audited,,
