"species_name","species_name_canonical","species_role","sdm_needed_for_disease","sdm_available","sdm_species","run_status","run_priority","occurrence_method","gbif_occurrence_method","start_year","end_year","min_points","disease_count","disease_names","pilot_include_disease_names","analysis_unit_ids","host_phylum","host_class","host_order","host_family","host_in_gonzalos_list","has_pilot_disease","has_pilot_include_disease","Not_specified","PCR_Sequencing","Isolation_Observation","Antibodies","Any_PCR_Or_Observation","first_pass_eligible","eligibility_status","eligibility_reasons","taxonomy_review_needed","taxonomy_review_reason","taxonomy_override_applied","taxonomy_override_notes","existing_model_path","occurrence_status","occurrence_rows_raw","occurrence_rows_clean","passes_min_points","gbif_occurrence_path","local_occurrence_path","combined_occurrence_path","model_status","model_output_path","synonym_review_status","synonym_notes","notes"
"Arapaima gigas","Arapaima gigas","host","no",FALSE,"Arapaima gigas","review_before_download",213,"gbif-download","gbif-download",2000,2026,20,1,"Non-typhoidal salmonellosis",,,"Chordata","Actinopterygii","Osteoglossiformes","Osteoglossidae",FALSE,TRUE,FALSE,0,0,1,0,1,FALSE,"review_non_target_class","non_target_class:Actinopterygii; not_pilot_include_disease",TRUE,"non_target_class:Actinopterygii; not_pilot_include_disease",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Perca fluviatilis","Perca fluviatilis","host","no",FALSE,"Perca fluviatilis","review_before_download",214,"gbif-download","gbif-download",2000,2026,20,1,"Non-typhoidal salmonellosis",,,"Chordata","Actinopterygii","Perciformes","Percidae",FALSE,TRUE,FALSE,0,1,0,0,1,FALSE,"review_non_target_class","non_target_class:Actinopterygii; not_pilot_include_disease",TRUE,"non_target_class:Actinopterygii; not_pilot_include_disease",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Cynoscion nebulosus","Cynoscion nebulosus","host","no",FALSE,"Cynoscion nebulosus","review_before_download",215,"gbif-download","gbif-download",2000,2026,20,1,"Non-typhoidal salmonellosis",,,"Chordata","Actinopterygii","Perciformes","Sciaenidae",FALSE,TRUE,FALSE,0,1,0,0,1,FALSE,"review_non_target_class","non_target_class:Actinopterygii; not_pilot_include_disease",TRUE,"non_target_class:Actinopterygii; not_pilot_include_disease",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Scomberomorus cavalla","Scomberomorus cavalla","host","no",FALSE,"Scomberomorus cavalla","review_before_download",216,"gbif-download","gbif-download",2000,2026,20,1,"Non-typhoidal salmonellosis",,,"Chordata","Actinopterygii","Perciformes","Scombridae",FALSE,TRUE,FALSE,0,1,0,0,1,FALSE,"review_non_target_class","non_target_class:Actinopterygii; not_pilot_include_disease",TRUE,"non_target_class:Actinopterygii; not_pilot_include_disease",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Python molurus","Python molurus","host","no",FALSE,"Python molurus","review_before_download",217,"gbif-download","gbif-download",2000,2026,20,1,"Non-typhoidal salmonellosis",,,"Chordata","Reptilia","Squamata","Pythonidae",FALSE,TRUE,FALSE,0,0,1,1,1,FALSE,"review_non_target_class","non_target_class:Reptilia; not_pilot_include_disease",TRUE,"non_target_class:Reptilia; not_pilot_include_disease",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Python regius","Python regius","host","no",FALSE,"Python regius","review_before_download",218,"gbif-download","gbif-download",2000,2026,20,1,"Non-typhoidal salmonellosis",,,"Chordata","Reptilia","Squamata","Pythonidae",FALSE,TRUE,FALSE,0,0,1,0,1,FALSE,"review_non_target_class","non_target_class:Reptilia; not_pilot_include_disease",TRUE,"non_target_class:Reptilia; not_pilot_include_disease",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Caiman crocodilus","Caiman crocodilus","host","no",FALSE,"Caiman crocodilus","review_before_download",219,"gbif-download","gbif-download",2000,2026,20,1,"Venezuelan equine encephalitis",,,"Chordata","Reptilia","Crocodylia","Alligatoridae",FALSE,TRUE,FALSE,0,0,0,1,0,FALSE,"review_non_target_class","non_target_class:Reptilia; not_pilot_include_disease; no_pcr_or_observation_signal",TRUE,"non_target_class:Reptilia; not_pilot_include_disease; no_pcr_or_observation_signal",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Testudo horsfieldii","Testudo horsfieldii","host","no",FALSE,"Testudo horsfieldii","review_before_download",220,"gbif-download","gbif-download",2000,2026,20,1,"Crimean-Congo hemorrhagic fever","Crimean-Congo hemorrhagic fever",,"Chordata","Reptilia","Testudines","Testudinidae",FALSE,TRUE,TRUE,0,0,0,1,0,FALSE,"review_non_target_class","non_target_class:Reptilia; no_pcr_or_observation_signal",TRUE,"non_target_class:Reptilia; no_pcr_or_observation_signal",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Homo sapiens","Homo sapiens","host","no",FALSE,"Homo sapiens","review_before_download",221,"gbif-download","gbif-download",2000,2026,20,31,"Argentine hemorrhagic fever; Borna disease (encephalitis); Chikungunya fever; COVID-19; Crimean-Congo hemorrhagic fever; Dengue; Ebola virus disease; Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus); Hendra; Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Lassa fever; Lujo hemorrhagic fever; Marburg virus disease; Middle East Respiratory Syndrome (MERS); Mpox (Monkeypox); Nipah virus disease; Non-typhoidal salmonellosis; Oropouche fever; Plague; Rift Valley fever; Severe Acute Respiratory Syndrome (SARS); Severe fever with thrombocytopenia syndrome (SFTS); Sudan virus disease (Ebola virus disease); Tick-borne encephalitis; Venezuelan equine encephalitis; West Nile fever; Yellow fever; Zika virus disease","Argentine hemorrhagic fever; Chikungunya fever; Crimean-Congo hemorrhagic fever; Dengue; Ebola virus disease; Hantavirus pulmonary syndrome; Hemorrhagic fever with renal syndrome (Hantaan virus); Hendra; Hepatitis E; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Lassa fever; Marburg virus disease; Nipah virus disease; Plague; Rift Valley fever; Tick-borne encephalitis; West Nile fever; Yellow fever; Zika virus disease",,"Chordata","Mammalia","Primates","Hominidae",FALSE,TRUE,TRUE,68,106,66,13,172,FALSE,"review_exclude_human_domestic_or_livestock","human_domestic_or_livestock",TRUE,"human_domestic_or_livestock",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
"Vicugna pacos","Vicugna pacos","host","no",FALSE,"Vicugna pacos","review_before_download",222,"gbif-download","gbif-download",2000,2026,20,5,"Borna disease (encephalitis); Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever","Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Tick-borne encephalitis; West Nile fever",,"Chordata","Mammalia","Artiodactyla","Camelidae",FALSE,TRUE,TRUE,1,8,1,1,9,FALSE,"review_exclude_human_domestic_or_livestock","human_domestic_or_livestock",TRUE,"human_domestic_or_livestock",FALSE,,,"not_prepared",,,,,,,"not_run",,"not_audited",,
